schema:name,schema:name@ja_kana,schema:url,schema:category,schema:startDate,schema:location,schema:latitude,schema:longitude
火打城の戦い,ひうちじょうのたたかい,https://ja.wikipedia.org/wiki/%E7%81%AB%E6%89%93%E5%9F%8E%E3%81%AE%E6%88%A6%E3%81%84,治承・寿永の乱,1183-04-07,越前国火打城,35.768833,136.197944
壇ノ浦の戦い,だんのうらのたたき,https://ja.wikipedia.org/wiki/%E5%A3%87%E3%83%8E%E6%B5%A6%E3%81%AE%E6%88%A6%E3%81%84,治承・寿永の乱,1185-05-02,長門国 赤間関壇ノ浦 （現下関市）,33.96509508,130.9566371
